Country/Territory,WBCode,PolStability,Voice,GovEffect,RegQuality,RuleofLaw,Corruption
ST. LUCIA,LCA,0.91,0.96,0.61,0.58,0.30,1.11
ST. VINCENT AND THE GRENADINES,VCT,0.94,0.98,0.88,0.84,0.33,1.03
SUDAN,SDN,-2.27,-1.51,-1.21,-1.46,-1.51,-1.77
SURINAME,SUR,0.09,-0.37,-0.10,0.01,-0.38,0.29
SWAZILAND,SWZ,-0.42,-0.36,-0.46,-0.57,-0.56,-1.21
SWEDEN,SWE,1.16,2.31,1.93,1.94,1.89,1.71
SWITZERLAND,CHE,1.40,2.15,1.81,1.88,1.66,1.67
SYRIAN ARAB REPUBLIC,SYR,-2.69,-1.17,-1.10,-1.22,-1.56,-1.80
"TAIWAN, CHINA",TWN,0.89,0.72,1.04,1.14,1.19,0.84
TAJIKISTAN,TJK,-1.17,-1.18,-1.18,-0.93,-1.01,-1.39
TANZANIA,TZA,0.02,-0.81,-0.56,-0.69,-0.40,-0.19
THAILAND,THA,-1.21,-0.34,-0.17,0.21,0.23,-0.34
TIMOR-LESTE,TMP,-0.27,-0.98,-1.20,-1.19,-1.02,0.06
TOGO,TGO,-0.41,-1.02,-0.93,-1.32,-0.86,-1.04
TONGA,TON,0.93,-0.07,0.03,-0.19,-0.60,0.39
TRINIDAD AND TOBAGO,TTO,0.12,-0.29,-0.19,0.40,0.22,0.46
TUNISIA,TUN,-0.74,-0.15,-0.15,-0.02,-0.21,-0.21
TURKEY,TUR,-1.19,0.17,0.04,0.40,0.42,-0.23
TURKMENISTAN,TKM,0.34,-1.34,-1.38,-1.29,-2.10,-2.21
TUVALU,TUV,1.32,-0.30,0.46,-0.69,-1.25,0.70
UGANDA,UGA,-0.88,-0.98,-0.36,-0.56,-0.24,-0.48
UKRAINE,UKR,-0.10,-1.03,-0.79,-0.58,-0.61,-0.29
UNITED ARAB EMIRATES,ARE,0.87,1.18,0.56,1.14,0.67,-1.01
UNITED KINGDOM,GBR,0.41,1.64,1.69,1.53,1.64,1.32
UNITED STATES,USA,0.63,1.38,1.60,1.51,1.29,1.13
URUGUAY,URY,0.71,1.32,0.54,0.44,0.40,1.03
UZBEKISTAN,UZB,-0.52,-1.23,-1.27,-0.94,-1.61,-2.01
VANUATU,VUT,1.22,0.45,0.24,-0.22,-0.77,0.47
"VENEZUELA, RB",VEN,-1.00,-1.24,-1.69,-1.14,-1.54,-0.92
VIETNAM,VNM,0.24,-0.56,-0.50,-0.29,-0.68,-1.39
VIRGIN ISLANDS (U.S.),VIR,0.78,0.82,0.88,1.26,0.59,0.84
WEST BANK AND GAZA,WBG,-1.94,-0.78,-0.46,-0.75,0.11,-0.88
"YEMEN, REP.",YEM,-2.41,-1.23,-1.27,-1.28,-0.70,-1.39
ZAMBIA,ZMB,0.61,-0.36,-0.40,-0.50,-0.43,-0.15
ZIMBABWE,ZWE,-0.79,-1.28,-1.62,-1.21,-1.83,-1.45
