"","Country","BattleDeaths","InterpersonalInjuries","PolStability","Voice","GovEffect","RegQuality","RuleofLaw","Corruption","BirthRegistration","DTF2012rank","BLeducationyears","tenyearavg","SI.POV.GINI","Health.Care.Capabilities","Vulnerability"
"100","Ireland",NA,0.000743006993006993,0.92,1.45,1.73,1.53,1.56,1.32,100,12,12.03,2.05936363636364,32.06,5,30.64
"101","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Israel",64,0.00120355834641549,-1.07,0.83,0.92,1.25,1.16,0.62,100,32,12.32,3.70890909090909,42.78,5,37.2
"103","Italy",NA,0.000622485012728915,0.51,-0.03,0.36,0.41,0.73,0.89,100,59,9.63,0.00936363636363642,35.52,5,32.36
"104","Jamaica",NA,0.0158902130733117,0.11,-0.36,-0.41,-0.02,0.23,0.44,98,65,9.87,0.556363636363636,45.51,3,47.27
"105","Japan",NA,0.000289194499017682,0.92,1.61,1.32,1.4,1.12,1.09,100,20,11.6,0.783454545454546,32.11,5,29.14
"106","Jersey",NA,NA,1.47,1.21,1.72,1.42,1.16,1.25,NA,NA,NA,NA,NA,NA,NA
"107","Jordan",NA,0.00369524896561564,-0.52,0.07,0.37,-0.04,0.18,-0.74,99,118,9.59,5.74436363636364,33.69,3,45.09
"108","Kazakhstan",NA,0.00465859504640157,-0.38,-0.88,-0.66,-0.44,-0.39,-1.16,100,79,11.33,7.48181818181818,28.56,2,41.09
"109","Kenya",NA,0.00383065449997684,-1.32,-1.1,-0.86,-0.55,-0.31,-0.3,60,122,6.14,4.55336363636364,47.68,2,65.54
"110","Kiribati",NA,NA,1.32,0,0.11,-0.83,-1.36,0.79,94,112,NA,1.45018181818182,NA,2,56.45
"111","Korea, Democratic People's Republic of",NA,0.00325081775229173,-0.11,-1.37,-1.25,-1.93,-2.53,-2.18,100,NA,NA,NA,NA,1,NA
"112","Korea, Republic of",NA,0.000736689590433239,0.24,0.47,0.97,1.2,0.89,0.7,NA,7,12.05,4.16690909090909,NA,4,32.26
"113","Kosovo",NA,NA,-1.09,-0.62,-0.56,-0.39,-0.04,-0.24,NA,98,NA,3.77018181818182,NA,NA,NA
"114","Kuwait",NA,0.000615384615384615,0.18,-0.16,0.38,-0.08,-0.05,-0.63,NA,84,6.34,6.02281818181818,NA,4,36.98
"115","Kyrgyzstan",NA,0.00336134453781513,-0.9,-1.09,-1.15,-0.66,-0.35,-0.64,98,94,10.71,3.68527272727273,33.39,2,50.1
